记录日期,订单号,订单号查重,客户订单总数,物流状态,是否收到退货/退货单据,是否退运费,是否退运费险,退款原因分类,具体操作要求,最终退款金额（美元）,退款日期,创建人,备注,父记录
2026/01/11,LC8119476,,1,未发货,否,不退运费,不退运费险,券/折扣问题,"2件退20%
OT53-AquaBlue-M
LWS-PT13DBL-S",31.16,2026/01/12,兰婷,,
2026/01/11,LC8114298,,1,已发货,否,不退运费,不退运费险,产品问题,"1件退40%
CT04-EspressoBrown-S",57.57,2026/01/12,兰婷,,
2026/01/11,LC8117327,,1,未发货,否,退运费,退运费险,缺货问题,整单退全款,159.82,2026/01/12,兰婷,,
2026/01/11,LC8116143,,2,已发货,是,不退运费,不退运费险,产品问题,"2件退全款
ESW20-CharcoalBlack-L
ESW20-ArmyGreen-L",113.86,2026/01/12,兰婷,,
2026/01/12,LC8119623,,1,未发货,否,不退运费,不退运费险,券/折扣问题,退10%,22.26,2026/01/13,陈楚文,⁠$30.90 CAD,
2026/01/12,LC8119375,,2,已发货,否,不退运费,不退运费险,其他,"退$173.80
（客户是想换货的，但自己另外下单了，退款后等于是只是付$6运费的单）",173.8,2026/01/13,DiningJia(贾迪宁）,,
2026/01/12,LC8115781,,3,已发货,是,不退运费,不退运费险,产品问题,"1件退全款
VT01-Ochre-L",61.52,2026/01/13,DiningJia(贾迪宁）,,
2026/01/12,LC8116662,,3,已发货,是,不退运费,不退运费险,产品问题,"1件退全款
PT30-Ochre-L",63.94,2026/01/13,DiningJia(贾迪宁）,,
2026/01/12,LC8116832,,1,已发货,否,不退运费,不退运费险,产品问题,1件退40%,35.96,2026/01/13,DiningJia(贾迪宁）,,
2026/01/13,LC8106768,,1,已发货,是,不退运费,不退运费险,产品问题,"2件退全款
LOT19-Coffee-L
MXD57-Olive-XL",134.82,2026/01/14,DiningJia(贾迪宁）,,
2026/01/13,LC8113242,,3,已发货,否,不退运费,不退运费险,产品问题,4件退50%，共130.4CAD,93.89,2026/01/14,陈楚文,⁠$130.40 CAD,
2026/01/13,LC8117394,,1,已发货,否,不退运费,不退运费险,产品问题,"1件退40%
SHT57-OceanStripes-S",27.66,2026/01/14,陈楚文,,
2026/01/13,LC8114241,单号登记重复，请检查,1,已发货,否,不退运费,不退运费险,产品问题,"3件退40%
",75.1,2026/01/14,高慧慧,,
2026/01/13,LC8117000,,4,已发货,是,不退运费,不退运费险,产品问题,"1件退全款
SHT45-ShellPink-XXL
",68.9,2026/01/14,兰婷,,
2026/01/13,LC8115825,,1,已发货,是,不退运费,不退运费险,产品问题,"1件退全款

",81.44,2026/01/14,兰婷,€69.95 EUR,
2026/01/13,LC8116456,,1,已发货,是,不退运费,不退运费险,产品问题,"1件退全款
MXD70-DeepOlive-S",71.91,2026/01/14,兰婷,,
2026/01/13,LC8116497,单号登记重复，请检查,1,部分发货,否,不退运费,不退运费险,缺货问题,"1件退全款
ACC-SCK06-MatrixDream-OneSize",24.38,2026/01/14,兰婷,,
2026/01/13,LC8117638,,1,已发货,否,不退运费,不退运费险,产品问题,1件退40%,28.76,2026/01/14,兰婷,,
2026/01/13,LC8113938,,1,已发货,否,不退运费,不退运费险,产品问题,2件退40%,60.74,2026/01/14,兰婷,,
2026/01/13,LC8113794,,1,已发货,是,不退运费,不退运费险,产品问题,3件退全款,218.96,2026/01/14,兰婷,,
2026/01/13,LC8117115,,1,已发货,是,不退运费,不退运费险,产品问题,"3件退全款
SKT14-OceanCream-M
TA51-Khaki-S
LWS-JK22NBL-M",156.07,2026/01/14,高慧慧,,
2026/01/13,LC8118219,,4,已发货,是,不退运费,不退运费险,产品问题,1件退全款,107.91,2026/01/14,高慧慧,,
2026/01/13,LC8117242,,2,已发货,是,不退运费,不退运费险,产品问题,"2件退全款
LWS-PT11GY-L
LWS-SHT111LVD-S",105.6,2026/01/14,陈楚文,,
2026/01/13,LC8115901,,1,已发货,是,不退运费,不退运费险,产品问题,"4件退全款
LOT28-CharcoalGrey-L
PT57-CharcoalGrey-L
LWS-MDD64-SeaBlue-XL
LWS-MXD31-Rosa-L",267.91,2026/01/14,DiningJia(贾迪宁）,$372.00 CAD,
2026/01/14,LC8117357,,1,已发货,是,不退运费,不退运费险,产品问题,"1件退全款
LWS-MDD50-Stripe-S",89.28,2026/01/15,DiningJia(贾迪宁）,,
2026/01/14,LC8119878,,1,未发货且标记取消,否,退运费,退运费险,订单异常/取消/修改订单,整单退全款,106.78,2026/01/15,兰婷,,
2026/01/14,LC8114247,,1,已发货,是,不退运费,不退运费险,产品问题,"1件退全款
",75.9,2026/01/15,兰婷,,
2026/01/14,LC8109868,,3,已发货,是,不退运费,不退运费险,产品问题,"2件退全款
",138.8,2026/01/15,兰婷,,
2026/01/14,LC8112000,单号登记重复，请检查,2,已发货,是,不退运费,不退运费险,产品问题,"1件退全款
LOT28-MerlotMystique-L",55.92,2026/01/15,陈楚文,,
2026/01/14,LC8118118,,1,已发货,是,不退运费,不退运费险,产品问题,2件退全款,143.64,2026/01/15,兰婷,$214.94 AUD,
2026/01/14,LC8117751,,1,已发货,是,不退运费,不退运费险,产品问题,1件退全款,64.9,2026/01/15,陈楚文,,
2026/01/14,LC8114811,,1,已发货,是,不退运费,不退运费险,产品问题,1件退全款,74.44,2026/01/15,陈楚文,kr686.70 SEK,
2026/01/14,LC8118792,,4,已发货,否,不退运费,不退运费险,产品问题,"1件退40%
 LWS-MDD141BK-XL",44.64,2026/01/15,高慧慧,$66.80 AUD,
2026/01/14,LC8115908,,1,已发货,是,不退运费,不退运费险,产品问题,2件退全款,149.95,2026/01/15,高慧慧,£111.60 GBP,
2026/01/14,LC8112291,,1,已发货,是,不退运费,不退运费险,产品问题,2件退全款,132.12,2026/01/15,高慧慧,,
2026/01/14,LC8114177,,1,已发货,是,不退运费,不退运费险,产品问题,"1件退全款
LOT22-EspressoBrown-L",47.92,2026/01/15,高慧慧,,
2026/01/14,LC8115485,,1,已发货,是,不退运费,不退运费险,产品问题,1件退全款,112.96,2026/01/15,高慧慧,$169.00 AUD,
2026/01/14,LC8115877,,1,已发货,是,不退运费,不退运费险,产品问题,"1件退全款
ESW12-Walnut-M",99.9,2026/01/15,高慧慧,,
2026/01/14,LC8116550,,1,已发货,是,不退运费,不退运费险,产品问题,1件退全款,133.01,2026/01/15,高慧慧,$199.00 AUD,
2026/01/14,LC8116721,,1,已发货,是,不退运费,不退运费险,产品问题,1件退全款,49.9,2026/01/15,高慧慧,,
2026/01/14,LC8116936,,2,已发货,是,不退运费,不退运费险,产品问题,"2件退全款
MXD53-Khaki-XL
MXD39-SageApple-XL",185.72,2026/01/15,高慧慧,,
2026/01/14,LC8117519,,2,已发货,是,不退运费,不退运费险,产品问题,"2件退全款
",135.84,2026/01/15,高慧慧,,
2026/01/14,LC8119958,,1,未发货且标记取消,否,退运费,退运费险,订单异常/取消/修改订单,整单退全款,286.66,2026/01/15,兰婷,,
2026/01/15,LC8117901,,1,已发货,否,不退运费,不退运费险,产品问题,"3件退40%
LT1-Rosewood-M
TA51-CharcoalBlack-M
OT57-SageApple-M",61.13,2026/01/16,兰婷,,
2026/01/15,LC8118248,,1,已发货,是,不退运费,不退运费险,产品问题,1件退全款,69.9,2026/01/16,兰婷,,
2026/01/15,LC8116794,,6,已发货,是,不退运费,不退运费险,产品问题,2件退全款,134.24,2026/01/16,兰婷,,
2026/01/15,LC8120110,,1,未发货,否,不退运费,不退运费险,券/折扣问题,退全部产品10%（不含运费险）,33.67,2026/01/16,陈楚文,$46.80 CAD,
2026/01/15,LC8117076,,2,已发货,是,不退运费,不退运费险,产品问题,2件退全款,111.28,2026/01/16,高慧慧,⁠€95.90 EUR,
2026/01/15,LC8117078,,2,已发货,是,不退运费,不退运费险,产品问题,"1件退全款
LWS-OT32PP-S",60.28,2026/01/16,高慧慧,⁠€51.95 EUR,
2026/01/15,LC8118540,,2,已发货,是,不退运费,不退运费险,产品问题,"1件退全款
OT45-OpticWhite-L",61.11,2026/01/16,高慧慧,,
2026/01/15,LC8118543,,2,已发货,是,不退运费,不退运费险,产品问题,1件退全款,62.91,2026/01/16,高慧慧,,
2026/01/15,LC897472,,1,已发货,是,不退运费,不退运费险,产品问题,2件退全款,143.82,2026/01/16,陈楚文,,
2026/01/15,LC8118210,单号登记重复，请检查,1,已发货,否,不退运费,不退运费险,错漏发,"1件退全款
MDD83-PastelPink-S",102.72,2026/01/16,陈楚文,£76.80 GBP,
2026/01/15,LC8116489,,1,已发货,是,不退运费,不退运费险,产品问题,"1件退全款
MXD65-NavyBlue-M",65.61,2026/01/16,DiningJia(贾迪宁）,,
2026/01/15,LC8118457,,1,已发货,否,不退运费,不退运费险,产品问题,"1件部分退款 退40%
OT25-MineralBlue-S",25.56,2026/01/16,DiningJia(贾迪宁）,,
2026/01/16,LC8118785,,1,已发货,是,不退运费,不退运费险,产品问题,2件退全款,118.28,2026/01/17,陈楚文,£88.40 GBP,
2026/01/16,LC8115387,,1,已发货,是,不退运费,不退运费险,产品问题,2件退全款,211.32,2026/01/17,兰婷,,
2026/01/16,LC8118307,,1,已发货,是,不退运费,不退运费险,产品问题,"1件退全款
JK26-EspressoBrown-M",120.67,2026/01/17,兰婷,,
2026/01/16,LC8118171,,1,已发货,否,不退运费,不退运费险,产品问题,"1件退40%
OT57-SageApple-M",19.96,2026/01/17,陈楚文,,
2026/01/16,LC8111504,,1,未发货且标记取消,否,退运费,退运费险,高风险订单,退整单,193,2026/01/17,陈楚文,,
2026/01/16,LC8114004,,2,已发货,是,不退运费,不退运费险,产品问题,"3件退全款
- MDD140-DarkRed-XL
- MXD39-MistyRose-XL
- MXD36-NavyBlue-XL",231.76,2026/01/17,陈楚文,,
2026/01/16,LC8114135,,1,已发货,是,不退运费,不退运费险,产品问题,"1件退全款
- LWS-MXD42KH-S",80.66,2026/01/17,陈楚文,,
2026/01/16,LC8115152,,2,已发货,是,不退运费,不退运费险,产品问题,"1件退全款
- SHT45-Chocolate-L",62.01,2026/01/17,陈楚文,,
2026/01/16,LC8115836,,2,已发货,是,不退运费,不退运费险,产品问题,"13件退全款
- PT58-NavyBlue-L
- JK27-CharcoalGrey-L
- MXD65-NavyBlue-L
- MXD64-Coffee-L
- MXD55-Coffee-L
- LOT29-Olive-L
- MDD139-OliveMist-L
- LOT22-EspressoBrown-L
- LOT12-AquaBlue-L
- LOT31-LapisBlue-L
- ESW18-OpticWhite-L
- PT57-OpticWhite-L
- LOT12-MidnightNavy-L",737.14,2026/01/17,陈楚文,,
2026/01/16,LC8117208,,1,已发货,是,不退运费,不退运费险,产品问题,"8件退全款
- OT53-AquaBlue-L
- LWS-PT42DGY-L
- LWS-PT13DBL-L
- TA13-OpticWhite-L
- LWS-PT13DBL-XL
- LWS-SOT02-DustyBlue-L
- LWS-SOT02-DustyBlue-XL
- OT36-OpticWhite-L",472.2,2026/01/17,陈楚文,,
2026/01/16,LC8117270,,2,已发货,是,不退运费,不退运费险,产品问题,"5件退全款
- SHT43-SageApple-S
- LWS-OT10PK-S
- LWS-OT9BL-S
- OT57-SageApple-S
- LWS-OT9LVD-S",341.5,2026/01/17,陈楚文,,
2026/01/16,LC8117323,,1,已发货,是,不退运费,不退运费险,产品问题,"4件退全款
- LT1-Rosewood-L
- OT58-Rosa-L
- LWS-MDD70-DustyRose-L
- ACC-ORG10-PeachOolong-OneSize",229.6,2026/01/17,陈楚文,,
2026/01/16,LC8116746,,1,已发货,否,不退运费,不退运费险,产品问题,"2件退部分退款，退50%
OT57-SageApple-S
LWS-MXD12GY-XS",67.76,2026/01/17,DiningJia(贾迪宁）,"不同意40%
变成50%",
2026/01/16,LC8118040,,1,已发货,否,不退运费,不退运费险,产品问题,"1件部分退款 40%
OT58-Rosa-L",24.45,2026/01/17,DiningJia(贾迪宁）,,
2026/01/16,LC8116649,,1,已发货,是,不退运费,不退运费险,产品问题,"1件退全款
MDD143-NavyBlue-S",68.31,2026/01/17,DiningJia(贾迪宁）,,
2026/01/16,LC8117840,,1,已发货,是,不退运费,不退运费险,产品问题,"1件退全款
lws-mxd15bl-xl",89.11,2026/01/17,DiningJia(贾迪宁）,£66.60 GBP,
2026/01/16,LC8118006,单号登记重复，请检查,1,发货已拦截,否,不退运费,不退运费险,订单异常/取消/修改订单,"11件退全款 LWS-PT13OGR-S
LWS-OT14-White-XS
LWS-PT13DBL-S
TA13-OpticWhite-S
OT56-AvocadoGreen-S
LWS-SKT21DBL-S
LWS-TA51WH-S
LWS-PT9NBL-S
LWS-MXD12GY-XS
MXD39-SageApple-S
LWS-MXD31KH-S",776.78,2026/01/17,DiningJia(贾迪宁）,,
2026/01/17,LC8118210,单号登记重复，请检查,1,已发货,是,不退运费,不退运费险,产品问题,"1件退全款
MDD83-PastelPink-L",102.78,2026/01/18,DiningJia(贾迪宁）,⁠£76.81 GBP,
2026/01/17,LC8117845,,1,已发货,是,不退运费,不退运费险,产品问题,"1件退款全款
MDD126-BlossomNavy-M",100.86,2026/01/18,DiningJia(贾迪宁）,€86.95 EUR,
2026/01/17,LC8120433,,1,未发货,否,不退运费,不退运费险,券/折扣问题,2件退10%,17.41,2026/01/18,DiningJia(贾迪宁）,£13.01 GBP,
2026/01/17,LC8118442,,1,已发货,是,不退运费,不退运费险,产品问题,"3件退款全款
",176.7,2026/01/18,兰婷,,
2026/01/17,LC8117130,,1,已发货,是,不退运费,不退运费险,产品问题,"1件退款全款
MXD64-Coffee-XXL
",80.91,2026/01/18,兰婷,,
2026/01/17,LC8120397,,1,未发货,否,不退运费,不退运费险,券/折扣问题,2件退10%,21.23,2026/01/18,兰婷,,
2026/01/17,LC8111664,,1,已发货,是,不退运费,不退运费险,产品问题,"2件退款全款
MDD139-OliveMist-M
MXD56-BurgundyRed-M",142.24,2026/01/18,兰婷,,
2026/01/17,LC8117915,,1,已发货,是,不退运费,不退运费险,产品问题,"1件退款全款
",56.61,2026/01/18,兰婷,,
2026/01/17,LC8118492,,1,已发货,否,不退运费,不退运费险,产品问题,1件退40%,19.01,2026/01/18,兰婷,,
2026/01/17,LC8116972,,3,已发货,否,不退运费,不退运费险,产品问题,"1件退40%
MXD40-NaturalLinen-XXL",38.52,2026/01/18,兰婷,$53.60 CAD,
2026/01/17,LC8116932,,1,已发货,否,不退运费,不退运费险,产品问题,"4件退40%
",79.04,2026/01/18,兰婷,,
2026/01/18,LC8118220,,1,已发货,是,不退运费,不退运费险,产品问题,"1件退全款
MXD35-NaturalLinen-S",111.99,2026/01/19,DiningJia(贾迪宁）,$167.45 AUD,
2026/01/18,LC8120790,,1,未发货,否,不退运费,不退运费险,券/折扣问题,2件退15%,21.37,2026/01/19,兰婷,$29.70 CAD,
2026/01/18,LC8114887,,2,已发货,否,不退运费,不退运费险,产品问题,"2件退40%
PT57-EspressoBrown-M
PT57-MerlotMystique-S",54.34,2026/01/19,兰婷,,
2026/01/18,LC8120121,,1,未发货,否,不退运费,不退运费险,券/折扣问题,整单退15%,88.81,2026/01/19,兰婷,$123.45 CAD,
2026/01/18,LC8118229,,1,已发货,否,不退运费,不退运费险,产品问题,"2件退40%
LWS-MDD70-AquaBlue-S
MDD108-NavyBlue-S",79.92,2026/01/19,DiningJia(贾迪宁）,,
2026/01/18,LC8114089,,1,已发货,是,不退运费,不退运费险,产品问题,"3件退全款
LWS-MDD151BL-XXL
LWS-MDD151BK-XXL
LWS-MXD31KH-XXL

",221.36,2026/01/19,DiningJia(贾迪宁）,,
2026/01/18,LC8117745,,1,已发货,是,不退运费,不退运费险,产品问题,1件退全款,164.26,2026/01/19,DiningJia(贾迪宁）,"kr 1,512.00 SEK",
2026/01/18,LC8107811,,1,已发货,是,不退运费,不退运费险,产品问题,"1件退全款
MXD64-RaspberryRed-XL",83.23,2026/01/19,DiningJia(贾迪宁）,⁠£62.05 GBP,
2026/01/19,LC8118511,,1,已发货,否,不退运费,不退运费险,产品问题,"1件退全款
ST10-Sets-Lavender-S

",117.04,2026/01/20,DiningJia(贾迪宁）,,
2026/01/19,LC8120301,,2,已发货,否,不退运费,不退运费险,券/折扣问题,抵扣代金券 退67.58刀,67.58,2026/01/20,兰婷,,
2026/01/19,LC8120951,单号登记重复，请检查,1,未发货,否,不退运费,不退运费险,券/折扣问题,2件退15%,17.22,2026/01/20,高慧慧,,
2026/01/19,LC8120958,,5,未发货,否,不退运费,不退运费险,券/折扣问题,1件退20%,23.98,2026/01/20,高慧慧,,
2026/01/19,LC8109209,,1,发货已拦截,否,退运费,退运费险,订单异常/取消/修改订单,退整单,175.96,2026/01/20,陈楚文,地址问题，云途已退回。SAR659.84,
2026/01/19,LC8120961,,1,未发货,否,退运费,不退运费险,券/折扣问题,退运费$9.9,9.9,2026/01/20,陈楚文,和订单LC8120954合并发货，退一个运费险,
2026/01/19,LUK2362,单号登记重复，请检查,1,已发货,否,不退运费,不退运费险,券/折扣问题,"4件退原价的10%,
31.36英镑",42.08,2026/01/20,高慧慧,£31.36 GBP,
2026/01/19,LC8116337,,1,已发货,是,不退运费,不退运费险,产品问题,1件退全款,55.49,2026/01/20,高慧慧,⁠£41.40 GBP,
2026/01/19,LC8115978,,1,已发货,是,不退运费,不退运费险,产品问题,3件退全款,203.72,2026/01/20,高慧慧,⁠£152.00 GBP,
2026/01/19,LFR1063,,1,未发货且标记取消,否,退运费,退运费险,高风险订单,退整单,92.04,2026/01/20,高慧慧,€79.05，$127.65 CAD。,
2026/01/19,LC8120838,,1,未发货且标记取消,否,退运费,退运费险,订单异常/取消/修改订单,整单退全款,126.81,2026/01/20,DiningJia(贾迪宁）,,
2026/01/20,LC8118482,,2,已发货,是,不退运费,不退运费险,产品问题,1件退全款,100.4,2026/01/21,陈楚文,£74.70 GBP,
2026/01/20,LC8118128,,1,已发货,是,不退运费,不退运费险,产品问题,2件退全款,127.84,2026/01/21,兰婷,,
2026/01/20,LC8120951,单号登记重复，请检查,1,已发货,否,不退运费,不退运费险,券/折扣问题,2件退5%,5.74,2026/01/21,陈楚文,客户反馈收到一个20%的券,
2026/01/20,LC8117916,,2,已发货,是,不退运费,不退运费险,产品问题,1件退全款,111.57,2026/01/21,高慧慧,£83.00 GBP,
2026/01/20,LC8120988,,1,未发货且标记取消,否,退运费,退运费险,订单异常/取消/修改订单,整单退全款,144.84,2026/01/21,兰婷,,
2026/01/20,LC8117766,,1,已发货,否,不退运费,不退运费险,产品问题,2件退40%,47.1,2026/01/21,兰婷,⁠$65.16 CAD,
2026/01/20,LC8118475,,1,已发货,是,不退运费,不退运费险,产品问题,"1件退全款
SHT45-OceanCream-M",62.01,2026/01/21,陈楚文,,
2026/01/20,LC8118924,,2,已发货,是,不退运费,不退运费险,产品问题,"4件退全款
MXD40-NaturalLinen-M
MDD112-Khaki-L
MXD39-MistyRose-M
MXD39-MistyRose-L",415.68,2026/01/21,陈楚文,,
2026/01/20,LC8118851,,6,已发货,否,不退运费,不退运费险,错漏发,"1件退全款
SHT45-OceanCream-S",68.9,2026/01/21,陈楚文,客户已下了新单，所以给她退款,
2026/01/20,LC8117750,,2,已发货,否,不退运费,不退运费险,产品问题,1件退40%,34.46,2026/01/21,高慧慧,kr219.60 DKK,
2026/01/20,LC8118799,,2,已发货,是,不退运费,不退运费险,产品问题,"1件退全款
JK22-Rosewood-L",45.17,2026/01/21,DiningJia(贾迪宁）,£33.60 GBP,
2026/01/20,LC8114637,,1,已发货,是,不退运费,不退运费险,产品问题,"3件退全款
SHT45-ShellPink-XL
LWS-OT8LVD-XL
OT31-IceBlue-XL",166.96,2026/01/21,DiningJia(贾迪宁）,,
2026/01/21,LC8114776,,1,已发货,是,不退运费,不退运费险,产品问题,"1件退全款
MDD142-DarkRed-L",77.31,2026/01/22,兰婷,,
2026/01/21,LC8118211,,1,已发货,是,不退运费,不退运费险,产品问题,"2件退全款
MDD133-RaspberryRed-S
MDD140-DarkRed-XL",148.42,2026/01/22,陈楚文,£110.61 GBP,
2026/01/21,LC8119284,,1,已发货,否,不退运费,不退运费险,产品问题,1件退40%,42.39,2026/01/22,陈楚文,$58.68 CAD,
2026/01/21,LC8118638 ,,1,已发货,是,不退运费,不退运费险,产品问题,1件退全款,109.9,2026/01/22,陈楚文,,
2026/01/21,LC8116554,,2,已发货,否,不退运费,不退运费险,产品问题,1件退40%,29.16,2026/01/22,高慧慧,,
2026/01/21,LC8116051,,2,已发货,否,不退运费,不退运费险,产品问题,"1件退40%
LOT01-NavyBlue-M",15.97,2026/01/22,高慧慧,,
2026/01/21,LFR1003,单号登记重复，请检查,1,已发货,是,不退运费,不退运费险,产品问题,1件退全款,72.91,2026/01/22,陈楚文,€62.32 EUR,
2026/01/21,LC8110504,,1,已发货,是,不退运费,不退运费险,产品问题,1件退全款,76.41,2026/01/22,陈楚文,,
2026/01/21,LC8117664,,2,已发货,是,不退运费,不退运费险,产品问题,1件退全款,77.35,2026/01/22,陈楚文,⁠€66.26 EUR,
2026/01/21,LC8121513,,2,未发货且标记取消,否,退运费,退运费险,订单异常/取消/修改订单,退整单,109.16,2026/01/22,陈楚文,$151.10 CAD,
2026/01/21,LC8113299,单号登记重复，请检查,1,已发货,是,不退运费,不退运费险,产品问题,2件退全款,134.07,2026/01/22,陈楚文,paypal查询争议已结束，客户退回产品，可退款。€114.32 EUR,
2026/01/21,LC8119434,,1,已发货,否,不退运费,不退运费险,产品问题,"1件退80%
BOT16-OpticWhite-M",52.2,2026/01/22,高慧慧,$89.28 NZD,
2026/01/21,LC8116497,单号登记重复，请检查,1,已发货,是,不退运费,不退运费险,产品问题,"3件退全款
ACC-SCK06-MistyPeak-OneSize
ACC-SCK06-MountainCanvas-OneSize
SKT14-OceanCream-S",130.12,2026/01/22,高慧慧,,
2026/01/21,LC8117284,,1,已发货,是,不退运费,不退运费险,产品问题,"5件退全款
LOT19-Coffee-XXL
LOT04-CharcoalGrey-XXL
MXD63-Brown-XXL
MDD139-OliveMist-XXL
MDD142-DarkRed-XXL",318.53,2026/01/22,高慧慧,,
2026/01/21,LC8116569,,1,已发货,是,不退运费,不退运费险,产品问题,"1件退全款
",87.92,2026/01/22,高慧慧,,
2026/01/21,LC8117308,,1,已发货,是,不退运费,不退运费险,产品问题,"1件退全款
OT67-LimeYellow-L",52.54,2026/01/22,高慧慧,,
2026/01/21,LC8117756,,1,已发货,是,不退运费,不退运费险,产品问题,"2件退全款
MXD70-DeepOlive-M
MXD64-NavyBlue-M",133.31,2026/01/22,高慧慧,$184.37 CAD,
2026/01/21,LC8118333,,3,已发货,是,不退运费,不退运费险,产品问题,"1件退全款
PT36-SageGreen-M",66.47,2026/01/22,高慧慧,£49.50 GBP,
2026/01/21,LC8118520,,3,已发货,是,不退运费,不退运费险,产品问题,"1件退全款
",66.47,2026/01/22,高慧慧,£49.50 GBP,
2026/01/21,LC8118664,,1,已发货,是,不退运费,不退运费险,产品问题,"1件退全款
LWS-MXD42KH-XL",79.92,2026/01/22,高慧慧,,
2026/01/21,LC8118746,,1,已发货,是,不退运费,不退运费险,产品问题,"1件退全款
",107.01,2026/01/22,高慧慧,,
2026/01/21,LC8117833,,1,已发货,是,不退运费,不退运费险,产品问题,"1件退全款
MXD64-RaspberryRed-XL",91.32,2026/01/22,DiningJia(贾迪宁）,£68.00 GBP,
2026/01/21,LC8117657,,1,已发货,是,不退运费,不退运费险,产品问题,"2件退全款
TA51-CharcoalBlack-XL
LWS-PT21BK-L
",112.42,2026/01/22,DiningJia(贾迪宁）,$165.60 AUD,
2026/01/21,LC8119686,,5,已发货,否,不退运费,不退运费险,产品问题,"1件退部分退款 40%
OT36-OpticWhite-L",27.77,2026/01/22,DiningJia(贾迪宁）,$38.42 CAD,
2026/01/21,LC8116896,,1,已发货,是,不退运费,不退运费险,产品问题,"2件退全款
OT50-OpticWhite-XXL
MDD109-OpticWhite-XXL",152.16,2026/01/22,DiningJia(贾迪宁）,$210.43 CAD,
2026/01/21,LC8118554,,1,已发货,否,不退运费,不退运费险,产品问题,"2件部分退款 40%
JK22-Khaki-S
JK22-Khaki-M",34.94,2026/01/22,DiningJia(贾迪宁）,,
2026/01/22,LC8119928,,1,已发货,是,不退运费,不退运费险,产品问题,"5件退全款
MDD120-Rosa-S
MDD112-Khaki-M
MDD115-SilenceBlue-S
MXD45-HoneyYellow-S
MDD98-BabyBlue-M",496.85,2026/01/23,陈楚文,,
2026/01/22,LC8118996,,1,已发货,是,不退运费,不退运费险,产品问题,"1件退全款
OT58-Rosa-M",75.04,2026/01/23,兰婷,$126.90 NZD,
2026/01/22,LC8111218,,1,已发货,是,不退运费,不退运费险,产品问题,"2件退全款
",131.59,2026/01/23,兰婷,,
2026/01/22,LC8117950,,1,发货已拦截,否,退运费,退运费险,订单异常/取消/修改订单,整单退全款,93.81,2026/01/23,兰婷,,
2026/01/22,LC8118222,,1,已发货,是,不退运费,不退运费险,产品问题,1件退全款,76.42,2026/01/23,高慧慧,,
2026/01/22,LC8118067,单号登记重复，请检查,1,已发货,是,不退运费,不退运费险,产品问题,1件退全款,89.91,2026/01/23,陈楚文,,
2026/01/22,LC8115096,,1,已发货,否,不退运费,不退运费险,产品问题,1件退40%,41.76,2026/01/23,陈楚文,,
2026/01/22,LC8116616,,1,已发货,是,不退运费,不退运费险,产品问题,1件退全款,71.01,2026/01/23,高慧慧,,
2026/01/22,LC8121731,,2,未发货,否,不退运费,退运费险,其他,退运费险,3.42,2026/01/23,陈楚文,$5.00 AUD,
2026/01/22,LC8121481,,1,部分发货,否,不退运费,不退运费险,其他,"2件退全款
LWS-PT21BK-XXL
LWS-PT21BK-XL",110.96,2026/01/23,高慧慧,$153.00 CAD,
2026/01/22,LC8116164,,1,已发货,是,不退运费,不退运费险,产品问题,"1件退全款
MXD53-Khaki-S",108.72,2026/01/23,DiningJia(贾迪宁）,,
2026/01/23,LC8120212,,1,已发货,是,不退运费,不退运费险,产品问题,1件退全款,57.51,2026/01/24,陈楚文,,
2026/01/23,LC8117369,,1,已发货,是,不退运费,不退运费险,产品问题,"2件退全款
LOT42-Coffee-S
LOT21-MerlotMystique-S",102.11,2026/01/24,高慧慧,,
2026/01/23,LC8119094,,1,已发货,是,不退运费,不退运费险,产品问题,2件退全款,165.59,2026/01/24,兰婷,,
2026/01/23,LC8118999,,1,已发货,是,不退运费,不退运费险,产品问题,2件退全款,118.62,2026/01/24,高慧慧,,
2026/01/23,LC8119513,,1,已发货,是,不退运费,不退运费险,产品问题,"3件退全款
LWS-MXD12GY-M
LWS-MDD41CF-S
lws-mxd16bl-m",305.73,2026/01/24,高慧慧,,
2026/01/23,LC8118367,,1,已发货,是,不退运费,不退运费险,产品问题,"1件退全款
CT04-EspressoBrown-L",144.9,2026/01/24,DiningJia(贾迪宁）,,
2026/01/23,LC8116807,,1,已发货,是,不退运费,不退运费险,产品问题,"2件退全款
LWS-PT21BK-XL
LWS-PT42DGY-XL",117.79,2026/01/24,DiningJia(贾迪宁）,,
2026/01/23,LC8118666,,1,已发货,是,不退运费,不退运费险,产品问题,"2件退全款
LWS-MDD70-DustyRose-L
MDD108-NavyBlue-L",199.8,2026/01/24,DiningJia(贾迪宁）,,
2026/01/23,LC8116351,,1,已发货,是,不退运费,不退运费险,产品问题,"3件退全款
MXD57-Olive-L
ESW20-SlateGray-L
ESW20-CharcoalBlack-L",241.7,2026/01/24,DiningJia(贾迪宁）,,
2026/01/24,LC8121819,,1,未发货且标记取消,否,退运费,退运费险,订单异常/取消/修改订单,整单退款,137.6,2026/01/25,DiningJia(贾迪宁）,,
2026/01/24,LC8122012,,1,未发货,否,不退运费,不退运费险,订单异常/取消/修改订单,"重复订购退其中一件
MXD73-CharcoalBlack-M",106.71,2026/01/25,兰婷,€90.21 EUR,
2026/01/24,LC8121957,,10,未发货且标记取消,否,退运费,退运费险,订单异常/取消/修改订单,整单退款,107,2026/01/25,兰婷,,
